,Text ID,Title,Negative,Neutral,Positive,Geopolitical Entities
1127,4218,"Protesters try to block access to Trump rally in Arizona, ahead of big primary in border state",0.242,0.758,0.0,Arizona
1128,1887,Count on Wide-Open 2016 Debate Over U.S.’s Role in the World,0.0,1.0,0.0,US
1129,2779,Why Obama is changing tune on pulling troops from Afghanistan,0.0,1.0,0.0,Afghanistan
1130,4452,Is Iran ‘already violating’ the nuclear deal by ‘illegally testing ballistic missiles?’,0.0,1.0,0.0,Iran
1136,1615,Clinton’s Iowa dilemma,0.459,0.541,0.0,Iowa
1138,3516,Islamic State claims responsibility for the Brussels attacks,0.293,0.707,0.0,Brussels
1140,3094,Charleston Church Holds First Service Since Shootings,0.0,1.0,0.0,Charleston
1146,3986,"2 killed, 8 terror suspects held in France terror raid",0.695,0.305,0.0,France
1149,4237,"Super Tuesday II: Clinton sweeps Florida, Illinois, Ohio and North Carolina; Rubio quits after Trump wins Florida",0.0,0.664,0.336,Florida; Illinois; Ohio; North Carolina; Florida
1164,3987,US military: 'Reasonably certain' airstrike killed notorious ISIS militant 'Jihadi John',0.423,0.457,0.12,US
1168,3254,"Chris Christie kicks off his comeback tour in N.H., going all-in on entitlement reform",0.0,1.0,0.0,NH
1174,4524,"Orlando gunman who pledged loyalty to ISIS was ‘homegrown’ extremist radicalized online, Obama says",0.0,0.788,0.212,Orlando
1183,918,"After New York Wins, Trump And Clinton Look Forward To Knockout Round",0.0,0.748,0.252,New York
1186,130,South Carolina police officer charged with murder after shooting man during traffic stop,0.465,0.535,0.0,South Carolina
1188,2831,Obama Authorizes Deploying Up To 450 More Troops To Iraq,0.0,1.0,0.0,Iraq
1190,2311,Federal Judge Overturns Nebraska Gay Marriage Ban,0.375,0.625,0.0,Nebraska
1191,1176,"Trump, Sanders Crush the Competition in New Hampshire Primaries",0.167,0.833,0.0,New Hampshire
1195,4441,Obama will walk away from Iran talks if no inspections,0.196,0.804,0.0,Iran
1211,2880,Egypt bombs Islamic State targets in Libya after beheading video,0.0,1.0,0.0,Egypt; Libya
1212,517,"As deadlines come and go, Puerto Rico's debt crisis grows (+video)",0.423,0.577,0.0,Puerto Ricos
1214,2942,Syria's Assad says he receives info about US-led coalition's anti-ISIS strikes,0.2,0.8,0.0,Syria; US
1221,3652,"FBI: Orlando suspect U.S. citizen, vowed allegiance to Islamic State",0.196,0.804,0.0,Orlando; US
1223,2869,"Bush weighs in on Obama's Iran, ISIS challenges",0.0,0.843,0.157,Iran
1234,3977,Suspected mastermind of Paris massacre killed in terror raid,0.62,0.38,0.0,Paris
1235,1010,How Wisconsin could be a turning point in the GOP race (+video),0.0,1.0,0.0,Wisconsin
1244,3971,"France, Belgium move to tighten security; FBI said to warn of threat in Italy",0.264,0.604,0.132,France; Belgium; Italy
1251,323,2nd New York prison worker charged in killers' escape,0.584,0.311,0.106,New York
1252,2278,Ark. governor won't sign 'religious freedom' bill as is,0.296,0.704,0.0,Ark
1253,706,RNC scrambles to calm state GOP officials,0.0,0.723,0.277,RNC
1254,951,What to watch at 's key Clinton-Sanders debate in New York,0.0,1.0,0.0,New York
1257,2780,Jimmy Carter offers help for Russia’s bombing campaign in Syria,0.0,0.769,0.231,Russia; Syria
1269,3114,Pope Francis arrives in New York City for second stop on US trip,0.155,0.845,0.0,New York City; US
1270,2653,Boston bombing trial plea deal fails,0.359,0.641,0.0,Boston
1271,2882,Kerry tells Capitol Hill critics of Iran nuclear deal to 'hold their fire' until final deal,0.247,0.753,0.0,Iran
1272,1238,"Ted Cruz Wins Iowa Caucus, Clinton Holds Narrow Lead Over Sanders",0.0,0.73,0.27,Iowa
1278,4848,Donald Trump questions Clinton’s health at rally in Ohio: ‘You think this is easy?’,0.0,1.0,0.0,Ohio
1282,1285,"As Washington publically frets over storm, GOP worries about impact of Trump, Cruz on Hill majority",0.157,0.843,0.0,Washington
1285,2295,Same-sex couples wed in Alabama,0.0,1.0,0.0,Alabama
1286,3969,"Fate of Paris attack mastermind unclear after raid, but intel sources reportedly say he's dead",0.442,0.558,0.0,Paris
1292,3601,"Police in Belgium, France, and Germany make arrests in latest anti-terror raids",0.209,0.791,0.0,Belgium; France; Germany
1295,3005,Sympathy for victims but no apology as Obama makes historic Hiroshima visit,0.211,0.661,0.128,Hiroshima
1296,3754,"After riots, Baltimore residents take to streets – to help one another",0.206,0.625,0.169,Baltimore
1299,2665,Los Angeles Times backs Clinton over Sanders,0.167,0.833,0.0,Los Angeles Times
1300,1810,Exodus from Puerto Rico could upend Florida vote in 2016 presidential race,0.0,1.0,0.0,Puerto Rico; Florida
1303,3980,Mali: At least 20 dead after gunmen storm luxury hotel in capital,0.281,0.719,0.0,Mali
1304,134,Rudy Giuliani's fall from America's Mayor,0.0,1.0,0.0,America
1309,1349,Think the Iowa polls were bad? Wait until New Hampshire,0.28,0.72,0.0,Iowa; New Hampshire
1313,2858,Stranded in Yemen: Americans left to find own way out,0.0,1.0,0.0,Yemen
1314,2853,Obama: U.S. would use force to defend Gulf allies,0.0,1.0,0.0,US
1318,2103,"Climate change happening 'right now,' Obama says ahead of Alaska trip",0.0,1.0,0.0,Alaska
1328,3180,Ronald Reagan made it all worse: How Republicans — the real party with their hands out — convinced white America that government was out to get them,0.095,0.738,0.166,America
1330,684,US election 2016: Can Clinton win over Republican moderates?,0.0,0.678,0.322,US
1331,1114,Democrats clash over immigration at Florida debate,0.0,1.0,0.0,Florida
1335,4200,"On To Indy: Hoosier State Could Be Stand For Trump Challengers, Sanders",0.0,0.887,0.113,Indy
1343,856,How Bernie Sanders beat the polls and won Indiana,0.0,0.684,0.316,Indiana
1351,4428,Deadly suicide blast in Istanbul tourist area is linked to the Islamic State,0.273,0.727,0.0,Istanbul
1352,128,"Yes, Black America fears the police. Here’s why.",0.243,0.522,0.235,America
1357,5041,Rural America confronts a new class divide,0.241,0.759,0.0,America
1359,1427,Trump Calls for the Return of Waterboarding by US,0.0,1.0,0.0,US
1360,3273,McConnell announces 'Plan B' to stop Iran deal,0.239,0.761,0.0,Iran
1363,1269,"Fiery Republican race heads to S.C., known for dirty tricks and brawls",0.43,0.57,0.0,SC
1367,916,"Can Donald Trump really hit 1,237 before Cleveland?",0.0,1.0,0.0,Cleveland
1369,1313,New Hampshire primary: How the outsiders won -- and the insiders crumbled,0.0,0.748,0.252,New Hampshire
1370,4568,"Obama Imposes Sanctions On Venezuela, Invoking Emergency Powers",0.4,0.6,0.0,Venezuela
1371,2059,"Clinton leads 2016 poll in Iowa, but Rand Paul is close (+video)",0.0,1.0,0.0,Iowa
1375,2761,Istanbul: Explosion by ISIS bomber kills at least 10,0.304,0.696,0.0,Istanbul
1377,1380,The Many Faces of Iowa’s Caucus Voters,0.0,1.0,0.0,Iowa
1386,4244,"Trump wins in Hawaii, Mississippi and Michigan",0.0,0.619,0.381,Hawaii; Mississippi; Michigan
1392,4423,Megyn Kelly interrogates Tom Cotton on Iran letter: “What’s the point in writing to the Iranian mullahs?”,0.0,1.0,0.0,Iran
1394,2635,"Cleveland, DOJ announce changes in police force",0.0,1.0,0.0,Cleveland
1398,3706,"From victims’ families, forgiveness for accused Charleston gunman Dylann Roof",0.179,0.65,0.171,Charleston
1405,1214,South Carolina Black Voters Not Feelin’ the Bern,0.0,1.0,0.0,South Carolina
1415,1156,Hillary Clinton plays literal attack dog in effort to shore up Nevada,0.205,0.662,0.132,Nevada
1426,3944,World overlooks Ethiopia drought crisis that is leaving millions hungry,0.313,0.687,0.0,Ethiopia
1429,1265,Rubio surges back to electrify South Carolina,0.0,1.0,0.0,South Carolina
1432,432,"Report Says Trade Deal Would Boost U.S. Economy, But Opponents Say No",0.191,0.683,0.126,US
1433,4065,Ambivalence on arms for Ukraine separates Obama from his backers,0.0,1.0,0.0,Ukraine
1436,4491,U.S. Flag Flies Over Embassy In Cuba For First Time In 54 Years,0.0,1.0,0.0,US; Cuba
1452,3438,Washington digs in for Supreme Court fight,0.232,0.446,0.321,Washington
1453,726,"Trump Willing to Meet N.Korea's Kim, Wants to Renegotiate Paris Climate Accord",0.0,1.0,0.0,NKorea
1455,4695,"Fight night in Las Vegas: High stakes for Trump, Clinton and Chris Wallace",0.178,0.822,0.0,Las Vegas
1461,3783,Police shooting of Antonio Zambrano-Montes in Washington state could be the next Ferguson,0.0,1.0,0.0,Washington
1477,2919,Iraqi forces reportedly begin attack to recapture Tikrit from ISIS,0.256,0.744,0.0,Tikrit
1482,2824,Understanding the U.S. talking points on Iran,0.0,1.0,0.0,US; Iran
1484,2223,Will US-Gulf summit bridge the gap on Iran – or highlight disconnects? (+video),0.0,0.833,0.167,US; Iran
1487,4011,Russia warns US of ‘unintended incidents’ over Syria,0.167,0.833,0.0,Russia; US; Syria
1488,3509,The scariest thing about Brussels is our reaction to it | Simon Jenkins,0.0,1.0,0.0,Brussels
1490,840,What to watch for in the Indiana primary,0.0,1.0,0.0,Indiana
1492,3219,Round I in Iowa: Scott Walker Emerges,0.0,1.0,0.0,Iowa
1495,4697,The Daily 202: Trump really is in danger of losing Utah,0.41,0.59,0.0,Utah
1497,1315,What you need to know about the New Hampshire primary,0.0,1.0,0.0,New Hampshire
1502,680,"Ugly, bloody scenes in San Jose as protesters attack Trump supporters outside rally",0.507,0.362,0.131,San Jose
1503,4900,Why did Mexico invite Donald Trump for a visit? (+video),0.0,0.849,0.151,Mexico
1505,716,Protests at Donald Trump rally overshadow Washington primary win,0.15,0.551,0.299,Washington
1510,117,"Baltimore, race and matters of perception",0.0,0.82,0.18,Baltimore
1515,339,"New York prison escape: Worker questioned, source says",0.412,0.439,0.149,New York
1517,4339,Jeb Bush and Iraq: What price family loyalty? (+video),0.0,0.696,0.304,Iraq
1519,572,History class becomes a debate on America,0.0,1.0,0.0,America
1522,3840,"With Iran deal, Obama makes bad history",0.368,0.632,0.0,Iran
1523,2255,Kentucky clerk still won't issue same-sex marriage licenses,0.0,1.0,0.0,Kentucky
1530,1397,How Predictive Are Iowa And New Hampshire?,0.0,1.0,0.0,Iowa; New Hampshire
1539,3990,"Russian jet crashes in Egypt's Sinai Peninsula, killing 224 people",0.328,0.672,0.0,Egypt
1543,2833,"Iran, world powers agree to nuclear deal",0.0,0.706,0.294,Iran
1551,2816,Historic nuclear deal reached in Vienna: What does it mean for Iran?,0.0,0.887,0.113,Vienna; Iran
1553,3671,Obama’s inconsistent claim on the ‘frequency’ of mass shootings in the U.S. compared to other countries,0.0,1.0,0.0,US
1555,3117,The vengeful god of Kim Davis: The powerful forces we ignore when we fixate on one Kentucky clerk,0.112,0.67,0.219,Kentucky
1561,80,NC Governor Partially Changes 'Bathroom Bill' after Backlash,0.0,1.0,0.0,NC
1565,2323,N.J. Gov. Christie walks a fine line on gay marriage,0.0,0.833,0.167,NJ
1567,4259,"Contests in South Carolina, Nevada to test the appeal of the outsiders",0.0,1.0,0.0,South Carolina; Nevada
1572,3514,Belgian police hunting 2 mystery bombers believed to have survived Brussels attacks,0.179,0.617,0.204,Brussels
1573,2815,The Latest On Iran Deal: Obama Says Deal Provides New Way Forward,0.0,1.0,0.0,Iran
1574,4062,"Senate Dems back down on Iran, say won’t support sanctions bill yet",0.0,0.803,0.197,Iran
1575,5099,"Melania Trump Plagiarized Michelle Obama, a Woman Republicans Said Hated America",0.296,0.704,0.0,America
1586,4729,"Mormon Exodus: Trump, Clinton Tied in Utah at 26%; McMullin 22%, Johnson 14%",0.0,1.0,0.0,Utah
1591,2943,Islamic State admits defeat in Kobani; blames airstrikes,0.442,0.388,0.171,Kobani
1595,3642,At least 12 dead after terror attack at Paris newspaper office (+video),0.545,0.455,0.0,Paris
1599,3791,3 Members Of Muslim Family Shot Dead In Chapel Hill,0.323,0.677,0.0,Chapel Hill
1600,3670,Stating the obvious? FBI awkwardly acknowledges San Bernardino massacre likely terrorism,0.434,0.566,0.0,San Bernardino
1602,1060,Mr. Trump goes to Washington: The surreal spectacle of a know-nothing GOP frontrunner,0.0,1.0,0.0,Washington
1603,468,Oil prices could fall further if Iran nuclear deal is reached,0.0,0.877,0.123,Iran
1611,1331,Fight night: Why the South Carolina showdown could turn bloody,0.407,0.593,0.0,South Carolina
1620,789,Presumptive Nominee? Trump Indiana Win Creates Big Challenge to Unite Party,0.0,0.414,0.586,Indiana
1622,2363,Do Britain’s gunless bobbies provide answers for America’s police?,0.0,1.0,0.0,Britain; America
1627,4203,"Cruz takes all 14 delegates at Wyoming GOP convention, NY primary next",0.0,1.0,0.0,Wyoming; NY
1628,2300,Think Indiana is bad? It's legal to deny service to gay and lesbian people in 29 states.,0.276,0.654,0.07,Indiana
1631,2169,The teachable moment of Saudi Arabia’s economic threat against the United States,0.21,0.617,0.173,Saudi Arabia’s; the United States
1643,119,"Ferguson, N. Charleston: 2 police killings, 2 outcomes",0.391,0.609,0.0,Ferguson; N Charleston
1647,4276,Donald Trump's lost month in Iowa,0.315,0.685,0.0,Iowa
1651,2194,"Rubio: Obama's diplomacy with dictators threatens America's safety, security",0.188,0.435,0.377,America
1659,4083,Ukraine Withdraws Forces After Fight Over Strategic City,0.271,0.729,0.0,Ukraine
1664,3659,"Hesston, Kansas, mass shooting: what we know",0.0,1.0,0.0,Hesston; Kansas
1668,2851,There's Something O'Reilly Trusts Even Less Than Iran,0.0,0.693,0.307,Iran
1674,2923,GOP senators demand answers over disclosure of mission to oust ISIS from Mosul,0.111,0.889,0.0,Mosul
1677,4269,Democratic candidates exhibit a new ferocity in last debate before N.H. vote,0.134,0.866,0.0,NH
1678,921,5 takeaways from the New York primary,0.0,1.0,0.0,New York
1695,2531,Allowing Refugees in US an Open Door to Terror?,0.298,0.702,0.0,US
1696,3775,"Holder: Ferguson shooter 'disgusting,' 'punk'",0.459,0.541,0.0,Ferguson
1699,3619,Jake Tapper: Where were U.S. leaders in Paris march?,0.0,1.0,0.0,US; Paris
1711,3765,Baltimore in flames: senseless,0.0,1.0,0.0,Baltimore
1712,4254,"In Nevada caucuses, Trump gets a third straight win",0.0,0.551,0.449,Nevada
1713,1340,How Ted Cruz outfoxed Donald Trump in Iowa,0.0,1.0,0.0,Iowa
1717,3505,Orlando: The mainstream media serves up a false narrative about terror attack,0.394,0.606,0.0,Orlando
1720,2900,Netanyahu — Flanked by Boehner — Calls for 'Better Deal' with Iran,0.0,0.791,0.209,Iran
1723,2361,Open carry comes to Texas: Why the Lone Star state will be safer in 2016,0.117,0.726,0.156,Texas
1728,3624,Suspects In Paris Magazine Attack Killed; Market Gunman And 4 Hostages Also Dead,0.614,0.386,0.0,Paris
1729,110,Why riots happen in places like Baltimore,0.306,0.463,0.231,Baltimore
1735,2540,The Murder Shaking San Francisco’s Liberal Soul,0.561,0.439,0.0,San Francisco’s
1736,4256,"Sanders sharpening message, attacks on Clinton after Nevada loss",0.426,0.574,0.0,Nevada
1738,4075,Proposed Bill Calls for Reconciliation Between Turkey and Armenia,0.0,1.0,0.0,Turkey; Armenia
1740,3696,Shootings In Chattanooga: What We Know About The Alleged Gunman,0.0,1.0,0.0,Chattanooga
1745,3564,Feds Arrest Two Women In New York City In Alleged Terror Plot,0.367,0.633,0.0,New York City
1746,1352,"Trump, Clinton cautiously optimistic ahead of Iowa caucuses",0.0,0.753,0.247,Iowa
1750,2773,Iran Gives Investors Glimpse of $30 Billion in Oil Deals to Come,0.0,1.0,0.0,Iran
1751,3733,"Charleston church massacre suspect caught, but answers elude victims' loved ones",0.254,0.447,0.299,Charleston
1757,3141,Critics pounce as Obama again shows he isn’t easy on America,0.156,0.638,0.206,America
1758,1021,Cruz allies prevail in North Dakota delegate race,0.0,1.0,0.0,North Dakota
1759,1358,Why the Iowa caucuses have such a massive impact on the presidential race,0.0,1.0,0.0,Iowa
1769,3692,Chattanooga shooting: History of attacks on U.S. military,0.293,0.707,0.0,Chattanooga; US
1770,4450,"Obama calls for end to nuclear weapons, but U.S. disarmament is slowest since 1980",0.13,0.87,0.0,US
1771,4002,Pentagon weighs using force to protect US-backed Syria rebels targeted by Russia,0.125,0.694,0.181,US; Syria; Russia
1773,1225,"Why Nevada was a bad sign for Bernie Sanders's ""political revolution""",0.259,0.741,0.0,Nevada
1774,919,New York restores order for 2016 front-runners,0.0,0.732,0.268,New York
1777,2655,"The Oregon militia standoff, explained",0.0,1.0,0.0,Oregon
1781,2244,Ky. clerk’s attorney: New marriage licenses ‘not worth the paper they’re written on’,0.0,0.863,0.137,Ky
1785,4560,Russia’s Syria intervention may force choice on Obama: Act or yield,0.0,1.0,0.0,Russia; Syria
1790,1319,US election: Hillary Clinton's problem with young women,0.278,0.722,0.0,US
1794,2826,Taliban Militants Attack Afghan Parliament In Kabul,0.341,0.659,0.0,Kabul
1797,4280,GOP debate: No one trumps Trump and six other takeaways from Las Vegas,0.155,0.845,0.0,Las Vegas
1803,2862,"Iraqi forces, civilians flee as ISIS gains control of Ramadi, US official says",0.0,0.833,0.167,Ramadi; US
1804,5079,'America is already great': Obama urges US to back Clinton in DNC speech,0.0,0.745,0.255,America; US
1805,4231,"Clinton, Trump eye Michigan wins as candidates face first big Midwest test",0.0,0.748,0.252,Michigan
1812,3527,San Bernardino divers reportedly pull object from water in evidence search,0.0,1.0,0.0,San Bernardino
1813,4443,Death of Saudi King Abdullah brings uncertain new era for US in Middle East,0.337,0.663,0.0,US
1816,1440,John Kasich wooing Iowans mostly from New Hampshire,0.0,1.0,0.0,New Hampshire
1819,2887,The Fantasy of a Better Iran Deal,0.0,0.674,0.326,Iran
1824,1458,"Carson, GOP White House candidates critical of Obama’s Syria plan for 50 Special Ops troops",0.128,0.722,0.15,Syria
1825,3387,Iran nuclear talks reportedly hit snag over lifting of sanctions as Obama makes appeal to Iran's people,0.0,1.0,0.0,Iran; Iran
1828,3728,Nation Mourns 9 Victims In Charleston Church Shooting,0.487,0.513,0.0,Charleston
1830,4025,State Dept. IDs 2 Americans killed in Nepal quake; 2 others reportedly dead,0.444,0.556,0.0,Nepal
1831,2067,Time to press the presidential candidates on Flint’s water crisis,0.313,0.687,0.0,Flint
1840,4445,"The last days of Washington, D.C.: America can no longer mask its steep decline",0.145,0.855,0.0,Washington; DC; America
1842,4213,"In Bronx, Sanders voters find more common ground with Trump than Clinton",0.0,1.0,0.0,Bronx
1846,4022,Russia carries out new airstrikes in Syria,0.0,1.0,0.0,Russia; Syria
1851,592,Why swing voters are vanishing from US politics,0.0,1.0,0.0,US
1852,2605,Netanyahu: Obama's Iranian Nuclear Deal Worse Than Israel Feared,0.474,0.526,0.0,Israel
1857,4382,Support for marriage equality in Ireland was strikingly broad,0.0,0.748,0.252,Ireland
1859,2213,Republicans Warn Iran Against Nuclear Deal With Obama,0.167,0.833,0.0,Iran
1863,2465,Connecticut’s highest court approves forced chemotherapy for teen,0.256,0.513,0.231,Connecticut
1865,4187,Indiana Gov. Pence backs Cruz for president ahead of state primary,0.107,0.893,0.0,Indiana
1866,870,Trump triumphs: Two big takeaways after The Donald wins New York,0.0,0.573,0.427,New York
1867,2904,"Iran nuclear talks: 'Tricky issues' remain, Kerry says",0.186,0.814,0.0,Iran
1871,75,The Oregon standoff and America’s double standards on race and religion,0.0,1.0,0.0,Oregon; America
1874,3966,Turkey Says It Shot Down A Russian Warplane Near Border With Syria,0.0,1.0,0.0,Turkey; Syria
1877,352,Why did Obama send another 450 trainers to Iraq? (+video),0.0,1.0,0.0,Iraq
1880,3989,ISIS Suspected in Russia Crash: What It Means,0.434,0.566,0.0,Russia
1881,1925,Political world's eyes on New Hampshire,0.0,1.0,0.0,New Hampshire
1883,1961,Rubio looks to April 13 Miami launch,0.0,1.0,0.0,Miami
1888,4521,French police swarm forest 'larger than Paris' in hunt for Charlie Hebdo jihadist assassins,0.0,1.0,0.0,Paris
1890,1373,"After political upheaval in Iowa, what next? (+video)",0.0,1.0,0.0,Iowa
1904,803,West Virginia primary takes backseat to Trump's battle with Republicans,0.224,0.776,0.0,West Virginia
1910,2721,Megyn Kelly is an evil genius: How the Fox News host won America’s trust (by being slightly less horrible),0.25,0.511,0.239,America
1912,2793,Obama Secures Enough Support For Iran Deal In Congress,0.0,0.583,0.417,Iran
1914,3538,Obama: Paris terror rampage a ‘setback’,0.405,0.595,0.0,Paris
1920,3528,Clinton says U.S. is ‘not winning’ the war against the Islamic State,0.262,0.738,0.0,US
1925,4018,"Kerry marks opening of US Embassy in Havana, critics rip 'diplomacy for show'",0.155,0.845,0.0,Kerry; US; Havana
1932,2854,Iraq announces counterattack against ISIS in Anbar province,0.0,1.0,0.0,Iraq; Anbar
1934,3350,US flag flies again in Cuba: How much real change is coming to the country? (+video),0.0,1.0,0.0,US; Cuba
1938,598,California governor signs bill to automatically register people to vote,0.0,1.0,0.0,California
1939,2550,Trump: Undocumented Children Aren't US Citizens,0.0,1.0,0.0,US
1941,4975,How Trump's campaign chief got a strongman elected president of Ukraine,0.0,0.855,0.145,Ukraine
1958,1207,The Edge: Iowa loss turns down Trump's volume in N.H.,0.204,0.796,0.0,Iowa; NH
1963,2895,Obama ties his fate to Iran nuclear deal,0.0,1.0,0.0,Iran
1969,1104,"What divides America? This weekend, it was a Chicago street.",0.0,1.0,0.0,America; Chicago
1974,2881,Iraq's Al-Abadi making in-person appeal to Obama for financial help,0.0,0.769,0.231,Iraq
1982,4005,"Russia launches airstrikes in northern Syria, senior military official says",0.0,1.0,0.0,Russia; Syria
1984,2774,"Kerry: World leaders take step to end Syria war and spreading terror concerns, but disagreements persist",0.391,0.609,0.0,Syria
1986,2607,Obama Chief Of Staff: Israel's 50-Year 'Occupation' Must End,0.0,1.0,0.0,Israel
1990,2247,Gay Marriage Fight in Kentucky Likely Not the Last Battleground,0.202,0.622,0.176,Kentucky
1991,1029,"After stumbles, Trump seeks to avert damaging loss in Wisconsin",0.51,0.49,0.0,Wisconsin
1993,2207,Liberals poised to give Obama a win on Iran,0.0,0.547,0.453,Iran
1998,4192,Trump's Indiana win raises unsettling questions for GOP,0.0,0.648,0.352,Indiana
2000,2787,"Obama to keep 5,500 US troops in Afghanistan beyond 2016",0.0,1.0,0.0,US; Afghanistan
2003,328,NY police investigate possible sighting of escaped prisoners,0.32,0.68,0.0,NY
2009,864,"Sanders, Cruz resist pressure after NY losses, vow to fight to conventions",0.455,0.545,0.0,NY
2011,662,Clinton and Sanders neck and neck in California primary,0.0,1.0,0.0,California
2017,3517,Footage shows suspects in Brussels attack,0.579,0.421,0.0,Brussels
2020,3003,Barack Obama says memory of Hiroshima 'must never fade',0.0,1.0,0.0,Hiroshima
2028,3223,Live from New Hampshire: They’re all here,0.0,1.0,0.0,New Hampshire
2029,3049,The Supreme Court is just as polarized as the rest of US politics – and this may have profound implications.,0.0,0.841,0.159,US
2031,1623,"After Obama changes tack on Syria, what would the presidential candidates do?",0.0,1.0,0.0,Syria
2032,3385,State Department won’t rule out $50B ‘signing bonus’ for Iran,0.0,1.0,0.0,Iran
2033,2861,White House willing to sign compromise Iran bill,0.0,1.0,0.0,Iran
2046,4069,"Solemn, stupefied, families in Kathmandu after earthquake",0.178,0.822,0.0,Kathmandu
2048,1396,Iowa's secretary of state rips Ted Cruz over campaign mailer,0.0,1.0,0.0,Iowa
2049,2959,"Clinton commits Benghazi gaffe, saying US 'didn't lose a single person' in Libya",0.0,0.766,0.234,Benghazi; US; Libya
2051,1122,Top takeaways from the Miami Republican debate,0.0,0.769,0.231,Miami
2055,3738,Police say 170 arrested in deadly biker gang shootout at Texas restaurant,0.22,0.78,0.0,Texas
2058,2007,"Biden heads to Iowa, fueling 2016 speculation",0.0,1.0,0.0,Iowa
2065,1333,Marco Rubio can’t save the Republican Party: Why people are giving him way too much credit after Iowa,0.0,0.562,0.438,Iowa
2067,4800,Does the Road to the White House Run Through Gary Johnson's New Mexico?,0.0,1.0,0.0,New Mexico
2070,4440,"Saudi Arabia, Egypt to Invade Yemen",0.0,1.0,0.0,Saudi Arabia; Egypt; Yemen
2071,1195,"Welcome to Trump County, U.S.A.",0.0,0.571,0.429,Trump County; USA
2075,2841,Iran takes hard stance on key provisions in nuke deal,0.135,0.865,0.0,Iran
2081,3890,"Obama to Make Landmark Presidential Trip to Father's Homeland, Kenya",0.0,0.874,0.126,Kenya
2084,2976,NSA spying: Today in America our government keeps us neither free nor safe,0.172,0.699,0.13,America
2088,2296,Hogan rejects Democratic request for ban on state-funded travel to Indiana,0.43,0.57,0.0,Hogan; Indiana
2092,3203,Republicans Stand Against Cuba Change Despite Public Opinion Shift,0.0,1.0,0.0,Cuba
2096,441,"White House still not telling America the truth about jobs, economy",0.0,0.813,0.187,America
2101,3270,Nevada GOP Gov. Brian Sandoval Won't Run For Senate In 2016,0.0,1.0,0.0,Nevada
2111,4635,Trump: Immigrants bring 'drugs ... crime' to U.S. from Mexico,0.28,0.72,0.0,US; Mexico
2112,1699,"In rural America, a startling prospect: Voters Obama lost look to Sanders",0.155,0.608,0.236,America
2113,1735,Obama: Hillary Clinton’s Personal Email a Mistake but Didn’t Endanger U.S.,0.145,0.855,0.0,US
2114,2163,Who rules the world? America is no longer the obvious answer,0.18,0.82,0.0,America
2116,4856,Trump Threatens Lawsuit Against Slanted New York Times,0.429,0.571,0.0,New York
2125,3585,Ukraine wants UN to label Russia as a sponsor of terrorism,0.315,0.685,0.0,Ukraine; Russia
2141,3679,State of emergency declared in Ferguson after police shoot and critically injure man during protests,0.365,0.635,0.0,Ferguson
2144,2929,Egyptian planes pound ISIS in Libya in revenge for mass beheadings of Christians,0.221,0.779,0.0,Libya
2148,2183,"Wake up, America. Our country is upside down",0.0,1.0,0.0,America
2149,4032,"Global relief effort underway after Nepal earthquake leaves 2,700 dead, thousands injured",0.366,0.471,0.162,Nepal
2151,2360,Texas counts down the hours until new Open Carry law takes effect,0.0,1.0,0.0,Texas
2154,2233,"Obama AWOL in Paris: Message to America, allies is we don't care",0.361,0.639,0.0,Paris; America
2158,2080,"Global warming worsened the California drought, scientists say",0.276,0.571,0.152,California
2159,3792,Arizona cop's body cam captures fatal encounter with suspect,0.449,0.551,0.0,Arizona
2162,2766,Iraqi forces appear close to retaking Ramadi from Islamic State,0.0,1.0,0.0,Ramadi
2166,1264,Bernie Sanders' American Dream is in Denmark,0.0,0.75,0.25,Denmark
2172,4395,"Calif., Ore. allow women to get birth control without a prescription",0.0,0.84,0.16,Calif; Ore
2179,2529,Kasich Affirms Path to Legal Status for Undocumented Immigrants,0.0,0.842,0.158,Kasich
2180,2872,ISIS Claims Responsibility for Deadly Bombing in Afghanistan,0.0,1.0,0.0,Afghanistan
2182,4090,Poroshenko sworn in as Ukraine's president,0.0,1.0,0.0,Ukraine
2185,1221,Kentucky Sen. Rand Paul suspends presidential campaign,0.0,1.0,0.0,Kentucky
2189,3752,"Baltimore prosecutor charges police with murder, manslaughter in death of Freddie Gray",0.543,0.457,0.0,Baltimore
2191,4082,Russian opposition leader's slaying shocks Moscow,0.342,0.658,0.0,Moscow
2200,5178,Poll: Clinton's Lead Over Trump Slips After Florida Shooting,0.0,1.0,0.0,Florida
2203,537,"In Iowa, potential candidates compete for 2016 spotlight",0.0,1.0,0.0,Iowa
2204,2990,U.S. secretly tracked billions of calls for decades,0.0,1.0,0.0,US
2215,688,Sanders in California Says Clinton E-Mail Problems Now Serious,0.364,0.636,0.0,California
2217,540,U.S. student performance slips on national test,0.0,1.0,0.0,US
2218,99,"Charleston, Dylann Roof and the racism of millennials",0.369,0.631,0.0,Charleston
2220,3396,White House admits should have sent 'higher-profile' official to Paris rally,0.0,0.82,0.18,Paris
2222,1322,Insiders: Sanders and Trump will win New Hampshire,0.0,0.648,0.352,New Hampshire
2233,4541,"Obama Apologizes, Takes Responsibility For Deaths Of Innocent Hostages In U.S. Drone Strike",0.091,0.61,0.299,US
2240,2771,How the Iran deal might change the Middle East,0.0,1.0,0.0,Iran
2245,3795,Obama pushes controversial trade deal in Germany,0.231,0.769,0.0,Germany
