,Text,Negative,Neutral,Positive,Subjectivity,Polarity
959,then shall we question those to whom our message was sent and those by whom we sent it.,0.0,1.0,0.0,0.0,0.0
960,"and verily, we shall recount their whole story with knowledge, for we were never absent (at any time or place).",0.0,1.0,0.0,0.4,0.2
961,"the balance that day will be true (to nicety): those whose scale (of good) will be heavy, will prosper:",0.0,0.669,0.331,0.5833333333333334,0.28333333333333327
962,"those whose scale will be light, will be their souls in perdition, for that they wrongfully treated our signs.",0.0,1.0,0.0,0.7,0.4
963,"it is we who have placed you with authority on earth, and provided you therein with means for the fulfilment of your life: small are the thanks that ye give!",0.0,0.862,0.138,0.30000000000000004,0.0
964,"it is we who created you and gave you shape; then we bade the angels prostrate to adam, and they prostrate; not so iblis; he refused to be of those who prostrate.",0.071,0.87,0.058,0.0,0.0
965,"(allah) said: ""what prevented thee from prostrating when i commanded thee?"" he said: ""i am better than he: thou didst create me from fire, and him from clay.""",0.074,0.738,0.188,0.5,0.5
966,"(allah) said: ""get thee down from this: it is not for thee to be arrogant here: get out, for thou art of the meanest (of creatures).""",0.113,0.887,0.0,0.2888888888888889,-0.15555555555555559
967,"he said: ""give me respite till the day they are raised up.""",0.0,1.0,0.0,0.0,0.0
968,"(allah) said: ""be thou among those who have respite.""",0.0,1.0,0.0,0.0,0.0
969,"he said: ""because thou hast thrown me out of the way, lo! i will lie in wait for them on thy straight way:",0.0,0.909,0.091,0.4,0.2
970,"""then will i assault them from before them and behind them, from their right and their left: nor wilt thou find, in most of them, gratitude (for thy mercies).""",0.111,0.786,0.104,0.43392857142857144,0.09642857142857142
971,"(allah) said: ""get out from this, disgraced and expelled. if any of them follow thee,- hell will i fill with you all.",0.347,0.653,0.0,0.0,0.0
972,"""o adam! dwell thou and thy wife in the garden, and enjoy (its good things) as ye wish: but approach not this tree, or ye run into harm and transgression.""",0.128,0.672,0.2,0.55,0.55
973,"then began satan to whisper suggestions to them, bringing openly before their minds all their shame that was hidden from them (before): he said: ""your lord only forbade you this tree, lest ye should become angels or such beings as live for ever.""",0.069,0.931,0.0,0.5666666666666667,-0.006060606060606061
974,"and he swore to them both, that he was their sincere adviser.",0.0,0.803,0.197,0.5,0.5
975,"so by deceit he brought about their fall: when they tasted of the tree, their shame became manifest to them, and they began to sew together the leaves of the garden over their bodies. and their lord called unto them: ""did i not forbid you that tree, and tell you that satan was an avowed enemy unto you?""",0.15,0.82,0.03,0.0,0.0
976,"they said: ""our lord! we have wronged our own souls: if thou forgive us not and bestow not upon us thy mercy, we shall certainly be lost.""",0.151,0.638,0.211,0.7857142857142857,0.40714285714285714
977,"(allah) said: ""get ye down. with enmity between yourselves. on earth will be your dwelling-place and your means of livelihood,- for a time.""",0.0,0.924,0.076,0.2888888888888889,-0.15555555555555559
978,"he said: ""therein shall ye live, and therein shall ye die; but from it shall ye be taken out (at last).""",0.109,0.891,0.0,0.2833333333333333,0.06818181818181818
979,"o ye children of adam! we have bestowed raiment upon you to cover your shame, as well as to be an adornment to you. but the raiment of righteousness,- that is the best. such are among the signs of allah, that they may receive admonition!",0.039,0.779,0.182,0.4,0.5
980,"o ye children of adam! let not satan seduce you, in the same manner as he got your parents out of the garden, stripping them of their raiment, to expose their shame: for he and his tribe watch you from a position where ye cannot see them: we made the evil ones friends (only) to those without faith.",0.173,0.781,0.046,0.7083333333333334,-0.3333333333333333
981,"when they do aught that is shameful, they say: ""we found our fathers doing so""; and ""allah commanded us thus"": say: ""nay, allah never commands what is shameful: do ye say of allah what ye know not?""",0.155,0.845,0.0,0.0,0.0
982,"say: ""my lord hath commanded justice; and that ye set your whole selves (to him) at every time and place of prayer, and call upon him, making your devotion sincere as in his sight: such as he created you in the beginning, so shall ye return.""",0.0,0.791,0.209,0.4666666666666666,0.2333333333333333
983,"some he hath guided: others have (by their choice) deserved the loss of their way; in that they took the evil ones, in preference to allah, for their friends and protectors, and think that they receive guidance.",0.153,0.776,0.071,1.0,-1.0
984,"o children of adam! wear your beautiful apparel at every time and place of prayer: eat and drink: but waste not by excess, for allah loveth not the wasters.",0.119,0.807,0.073,0.5,0.32499999999999996
985,"say: who hath forbidden the beautiful (gifts) of allah, which he hath produced for his servants, and the things, clean and pure, (which he hath provided) for sustenance? say: they are, in the life of this world, for those who believe, (and) purely for them on the day of judgment. thus do we explain the signs in detail for those who understand.",0.041,0.863,0.096,0.675,0.4113095238095238
986,"say: the things that my lord hath indeed forbidden are: shameful deeds, whether open or secret; sins and trespasses against truth or reason; assigning of partners to allah, for which he hath given no authority; and saying things about allah of which ye have no knowledge.",0.227,0.731,0.042,0.6,-0.2
987,"to every people is a term appointed: when their term is reached, not an hour can they cause delay, nor (an hour) can they advance (it in anticipation).",0.076,0.831,0.093,0.0,0.0
988,"o ye children of adam! whenever there come to you messengers from amongst you, rehearsing my signs unto you,- those who are righteous and mend (their lives),- on them shall be no fear nor shall they grieve.",0.0,0.873,0.127,0.0,0.0
989,"but those who reject our signs and treat them with arrogance,- they are companions of the fire, to dwell therein (for ever).",0.335,0.507,0.158,0.0,0.0
990,"who is more unjust than one who invents a lie against allah or rejects his signs? for such, their portion appointed must reach them from the book (of decrees): until, when our messengers (of death) arrive and take their souls, they say: ""where are the things that ye used to invoke besides allah?"" they will reply, ""they have left us in the lurch,"" and they will bear witness against themselves, that they had rejected allah.",0.168,0.819,0.013,0.3333333333333333,0.16666666666666666
991,"he will say: ""enter ye in the company of the peoples who passed away before you - men and jinns, - into the fire."" every time a new people enters, it curses its sister-people (that went before), until they follow each other, all into the fire. saith the last about the first: ""our lord! it is these that misled us: so give them a double penalty in the fire."" he will say: ""doubled for all"": but this ye do not understand.",0.088,0.912,0.0,0.2459090909090909,0.06477272727272727
992,"then the first will say to the last: ""see then! no advantage have ye over us; so taste ye of the penalty for all that ye did!""",0.176,0.824,0.0,0.19999999999999998,0.125
993,"to those who reject our signs and treat them with arrogance, no opening will there be of the gates of heaven, nor will they enter the garden, until the camel can pass through the eye of the needle: such is our reward for those in sin.",0.196,0.644,0.16,0.5,0.0
994,"for them there is hell, as a couch (below) and folds and folds of covering above: such is our requital of those who do wrong.",0.251,0.749,0.0,0.5,-0.16666666666666666
995,"but those who believe and work righteousness,- no burden do we place on any soul, but that which it can bear,- they will be companions of the garden, therein to dwell (for ever).",0.0,0.864,0.136,0.0,0.0
996,"and we shall remove from their hearts any lurking sense of injury;- beneath them will be rivers flowing;- and they shall say: ""praise be to allah, who hath guided us to this (felicity): never could we have found guidance, had it not been for the guidance of allah: indeed it was the truth, that the messengers of our lord brought unto us."" and they shall hear the cry: ""behold! the garden before you! ye have been made its inheritors, for your deeds (of righteousness).""",0.077,0.811,0.112,0.0,0.0
997,"the companions of the garden will call out to the companions of the fire: ""we have indeed found the promises of our lord to us true: have you also found your lord's promises true?"" they shall say, ""yes""; but a crier shall proclaim between them: ""the curse of allah is on the wrong-doers;-",0.105,0.746,0.15,0.65,0.35
998,"""those who would hinder (men) from the path of allah and would seek in it something crooked: they were those who denied the hereafter.""",0.112,0.888,0.0,0.1,0.0
999,"between them shall be a veil, and on the heights will be men who would know every one by his marks: they will call out to the companions of the garden, ""peace on you"": they will not have entered, but they will have an assurance (thereof).",0.0,0.892,0.108,0.0,0.0
1000,"when their eyes shall be turned towards the companions of the fire, they will say: ""our lord! send us not to the company of the wrong-doers.""",0.097,0.903,0.0,0.0,0.0
1001,"the men on the heights will call to certain men whom they will know from their marks, saying: ""of what profit to you were your hoards and your arrogant ways?",0.091,0.767,0.142,0.5714285714285714,0.21428571428571427
1002,"""behold! are these not the men whom you swore that allah with his mercy would never bless? enter ye the garden: no fear shall be on you, nor shall ye grieve.""",0.063,0.731,0.206,0.0,0.0
1003,"the companions of the fire will call to the companions of the garden: ""pour down to us water or anything that allah doth provide for your sustenance."" they will say: ""both these things hath allah forbidden to those who rejected him.""",0.183,0.817,0.0,0.2888888888888889,-0.15555555555555559
1004,"""such as took their religion to be mere amusement and play, and were deceived by the life of the world."" that day shall we forget them as they forgot the meeting of this day of theirs, and as they were wont to reject our signs.",0.092,0.77,0.138,0.5,-0.25
1005,"for we had certainly sent unto them a book, based on knowledge, which we explained in detail,- a guide and a mercy to all who believe.",0.0,0.83,0.17,0.5714285714285714,0.21428571428571427
1006,"do they just wait for the final fulfilment of the event? on the day the event is finally fulfilled, those who disregarded it before will say: ""the messengers of our lord did indeed bring true (tidings). have we no intercessors now to intercede on our behalf? or could we be sent back? then should we behave differently from our behaviour in the past."" in fact they will have lost their souls, and the things they invented will leave them in the lurch.",0.098,0.84,0.062,0.5833333333333334,0.016666666666666663
1007,"your guardian-lord is allah, who created the heavens and the earth in six days, and is firmly established on the throne (of authority): he draweth the night as a veil o'er the day, each seeking the other in rapid succession: he created the sun, the moon, and the stars, (all) governed by laws under his command. is it not his to create and to govern? blessed be allah, the cherisher and sustainer of the worlds!",0.021,0.779,0.2,0.3875,-0.178125
1008,call on your lord with humility and in private: for allah loveth not those who trespass beyond bounds.,0.0,1.0,0.0,0.375,0.0
1009,"do no mischief on the earth, after it hath been set in order, but call on him with fear and longing (in your hearts): for the mercy of allah is (always) near to those who do good.",0.107,0.607,0.286,0.5,0.39999999999999997
1010,"it is he who sendeth the winds like heralds of glad tidings, going before his mercy: when they have carried the heavy-laden clouds, we drive them to a land that is dead, make rain to descend thereon, and produce every kind of harvest therewith: thus shall we raise up the dead: perchance ye may remember.",0.129,0.751,0.12,0.6749999999999999,0.175
1011,"from the land that is clean and good, by the will of its cherisher, springs up produce, (rich) after its kind: but from the land that is bad, springs up nothing but that which is niggardly: thus do we explain the signs by various (symbols) to those who are grateful.",0.076,0.692,0.232,0.6861111111111112,0.22361111111111112
1012,"we sent noah to his people. he said: ""o my people! worship allah! ye have no other god but him. i fear for you the punishment of a dreadful day!",0.39,0.572,0.038,0.6875,-0.46875
1013,"the leaders of his people said: ""ah! we see thee evidently wandering (in mind).""",0.0,1.0,0.0,0.25,0.25
1014,"he said: ""o my people! no wandering is there in my (mind): on the contrary i am a messenger from the lord and cherisher of the worlds!",0.071,0.807,0.122,0.0,0.0
1015,"""i but fulfil towards you the duties of my lord's mission: sincere is my advice to you, and i know from allah something that ye know not.",0.0,0.88,0.12,0.5,0.5
1016,"""do ye wonder that there hath come to you a message from your lord, through a man of your own people, to warn you,- so that ye may fear allah and haply receive his mercy?""",0.118,0.818,0.064,1.0,0.6
1017,"but they rejected him, and we delivered him, and those with him, in the ark: but we overwhelmed in the flood those who rejected our signs. they were indeed a blind people!",0.303,0.666,0.031,0.6666666666666666,-0.625
1018,"to the 'ad people, (we sent) hud, one of their (own) brethren: he said: o my people! worship allah! ye have no other god but him will ye not fear (allah)?""",0.084,0.758,0.158,0.7916666666666666,0.24687499999999998
1019,"the leaders of the unbelievers among his people said: ""ah! we see thou art an imbecile!"" and ""we think thou art a liar!""",0.26,0.74,0.0,1.0,-1.0
1020,"he said: ""o my people! i am no imbecile, but (i am) a messenger from the lord and cherisher of the worlds!",0.0,0.749,0.251,1.0,0.5
1021,"""i but fulfil towards you the duties of my lord's mission: i am to you a sincere and trustworthy adviser.",0.0,0.681,0.319,0.5,0.5
1022,"""do ye wonder that there hath come to you a message from your lord through a man of your own people, to warn you? call in remembrance that he made you inheritors after the people of noah, and gave you a stature tall among the nations. call in remembrance the benefits (ye have received) from allah: that so ye may prosper.""",0.022,0.937,0.041,1.0,0.6
1023,"they said: ""comest thou to us, that we may worship allah alone, and give up the cult of our fathers? bring us what thou threatenest us with, if so be that thou tellest the truth!""",0.052,0.825,0.124,0.0,0.0
1024,"he said: ""punishment and wrath have already come upon you from your lord: dispute ye with me over names which ye have devised - ye and your fathers,- without authority from allah? then wait: i am amongst you, also waiting.""",0.161,0.839,0.0,0.0,0.0
1025,"we saved him and those who adhered to him. by our mercy, and we cut off the roots of those who rejected our signs and did not believe.",0.156,0.692,0.153,0.0,0.0
1026,"to the thamud people (we sent) salih, one of their own brethren: he said: ""o my people! worship allah: ye have no other god but him. now hath come unto you a clear (sign) from your lord! this she-camel of allah is a sign unto you: so leave her to graze in allah's earth, and let her come to no harm, or ye shall be seized with a grievous punishment.",0.163,0.733,0.104,0.6895833333333333,0.03437499999999999
1027,"""and remember how he made you inheritors after the 'ad people and gave you habitations in the land: ye build for yourselves palaces and castles in (open) plains, and carve out homes in the mountains; so bring to remembrance the benefits (ye have received) from allah, and refrain from evil and mischief on the earth.""",0.112,0.846,0.042,0.75,-0.5
1028,"the leaders of the arrogant party among his people said to those who were reckoned powerless - those among them who believed: ""know ye indeed that salih is a messenger from his lord?"" they said: ""we do indeed believe in the revelation which hath been sent through him.""",0.118,0.832,0.05,0.9,-0.5
1029,"the arrogant party said: ""for our part, we reject what ye believe in.""",0.317,0.538,0.145,0.0,0.0
1030,"then they ham-strung the she-camel, and insolently defied the order of their lord, saying: ""o salih! bring about thy threats, if thou art a messenger (of allah)!""",0.115,0.885,0.0,0.0,0.0
1031,"so the earthquake took them unawares, and they lay prostrate in their homes in the morning!",0.0,1.0,0.0,0.0,0.0
1032,"so salih left them, saying: ""o my people! i did indeed convey to you the message for which i was sent by my lord: i gave you good counsel, but ye love not good counsellors!""",0.072,0.737,0.192,0.45000000000000007,0.190625
1033,"we also (sent) lut: he said to his people: ""do ye commit lewdness such as no people in creation (ever) committed before you?",0.08,0.688,0.232,0.5,0.0
1034,"""for ye practise your lusts on men in preference to women: ye are indeed a people transgressing beyond bounds.""",0.0,1.0,0.0,0.0,0.0
1035,"and his people gave no answer but this: they said, ""drive them out of your city: these are indeed men who want to be clean and pure!""",0.052,0.777,0.171,0.6000000000000001,0.31726190476190474
1036,"but we saved him and his family, except his wife: she was of those who legged behind.",0.0,0.812,0.188,0.7,-0.4
1037,and we rained down on them a shower (of brimstone): then see what was the end of those who indulged in sin and crime!,0.251,0.749,0.0,0.2888888888888889,-0.19444444444444448
1038,"to the madyan people we sent shu'aib, one of their own brethren: he said: ""o my people! worship allah; ye have no other god but him. now hath come unto you a clear (sign) from your lord! give just measure and weight, nor withhold from the people the things that are their due; and do no mischief on the earth after it has been set in order: that will be best for you, if ye have faith.",0.033,0.771,0.196,0.48666666666666664,0.3625
1039,"""and squat not on every road, breathing threats, hindering from the path of allah those who believe in him, and seeking in it something crooked; but remember how ye were little, and he gave you increase. and hold in your mind's eye what was the end of those who did mischief.",0.092,0.856,0.053,0.3,-0.09375
1040,"""and if there is a party among you who believes in the message with which i have been sent, and a party which does not believe, hold yourselves in patience until allah doth decide between us: for he is the best to decide.",0.0,0.806,0.194,0.3,1.0
1041,"the leaders, the arrogant party among his people, said: ""o shu'aib! we shall certainly drive thee out of our city - (thee) and those who believe with thee; or else ye (thou and they) shall have to return to our ways and religion."" he said: ""what! even though we do detest (them)?",0.055,0.847,0.098,0.5714285714285714,0.26785714285714285
1042,"""we should indeed invent a lie against allah, if we returned to your ways after allah hath rescued us therefrom; nor could we by any manner of means return thereto unless it be as in the will and plan of allah, our lord. our lord can reach out to the utmost recesses of things by his knowledge. in the allah is our trust. our lord! decide thou between us and our people in truth, for thou art the best to decide.""",0.0,0.845,0.155,0.3,1.0
1043,"the leaders, the unbelievers among his people, said: ""if ye follow shu'aib, be sure then ye are ruined!""",0.156,0.738,0.106,0.8888888888888888,0.625
1044,"but the earthquake took them unawares, and they lay prostrate in their homes before the morning!",0.0,1.0,0.0,0.0,0.0
1045,the men who reject shu'aib became as if they had never been in the homes where they had flourished: the men who rejected shu'aib - it was they who were ruined!,0.251,0.749,0.0,0.0,0.0
1046,"so shu'aib left them, saying: ""o my people! i did indeed convey to you the messages for which i was sent by my lord: i gave you good counsel, but how shall i lament over a people who refuse to believe!""",0.156,0.803,0.041,0.30000000000000004,0.4375
1047,"whenever we sent a prophet to a town, we took up its people in suffering and adversity, in order that they might learn humility.",0.211,0.789,0.0,0.0,0.0
1048,"then we changed their suffering into prosperity, until they grew and multiplied, and began to say: ""our fathers (too) were touched by suffering and affluence""... behold! we called them to account of a sudden, while they realised not (their peril).",0.142,0.809,0.049,0.5,0.0
1049,"if the people of the towns had but believed and feared allah, we should indeed have opened out to them (all kinds of) blessings from heaven and earth; but they rejected (the truth), and we brought them to book for their misdeeds.",0.151,0.639,0.21,0.0,0.0
1050,did the people of the towns feel secure against the coming of our wrath by night while they were asleep?,0.0,0.888,0.112,0.6,0.4
1051,or else did they feel secure against its coming in broad daylight while they played about (care-free)?,0.0,0.758,0.242,0.45625,0.23125
1052,"did they then feel secure against the plan of allah?- but no one can feel secure from the plan of allah, except those (doomed) to ruin!",0.353,0.526,0.12,0.6,0.45
1053,"to those who inherit the earth in succession to its (previous) possessors, is it not a guiding, (lesson) that, if we so willed, we could punish them (too) for their sins, and seal up their hearts so that they could not hear?",0.127,0.752,0.121,0.16666666666666666,-0.16666666666666666
1054,such were the towns whose story we (thus) relate unto thee: there came indeed to them their messengers with clear (signs): but they would not believe what they had rejected before. thus doth allah seal up the hearts of those who reject faith.,0.139,0.661,0.199,0.44166666666666665,0.05000000000000001
1055,most of them we found not men (true) to their covenant: but most of them we found rebellious and disobedient.,0.199,0.801,0.0,0.5499999999999999,0.45
1056,"then after them we sent moses with our signs to pharaoh and his chiefs, but they wrongfully rejected them: so see what was the end of those who made mischief.",0.216,0.784,0.0,0.0,0.0
1057,"moses said: ""o pharaoh! i am a messenger from the lord of the worlds,-",0.0,1.0,0.0,0.0,0.0
1058,"one for whom it is right to say nothing but truth about allah. now have i come unto you (people), from your lord, with a clear (sign): so let the children of israel depart along with me.""",0.06,0.857,0.083,0.4595238095238095,0.19285714285714287
1059,"(pharaoh) said: ""if indeed thou hast come with a sign, show it forth,- if thou tellest the truth.""",0.0,0.881,0.119,0.0,0.0
1060,"then (moses) threw his rod, and behold! it was a serpent, plain (for all to see)!",0.0,1.0,0.0,0.35714285714285715,-0.26785714285714285
1061,"and he drew out his hand, and behold! it was white to all beholders!",0.0,0.775,0.225,0.0,0.0
1062,"said the chiefs of the people of pharaoh: ""this is indeed a sorcerer well-versed.",0.0,1.0,0.0,0.0,0.0
1063,"""his plan is to get you out of your land: then what is it ye counsel?""",0.0,1.0,0.0,0.0,0.0
1064,"they said: ""keep him and his brother in suspense (for a while); and send to the cities men to collect-",0.0,1.0,0.0,0.0,0.0
1065,"and bring up to thee all (our) sorcerers well-versed.""",0.0,1.0,0.0,0.0,0.0
1066,"so there came the sorcerers to pharaoh: they said, ""of course we shall have a (suitable) reward if we win!""",0.0,0.698,0.302,0.575,0.775
1067,"he said: ""yea, (and more),- for ye shall in that case be (raised to posts) nearest (to my person).""",0.0,1.0,0.0,0.5,0.5
1068,"they said: ""o moses! wilt thou throw (first), or shall we have the (first) throw?""",0.0,1.0,0.0,0.3333333333333333,0.25
1069,"said moses: ""throw ye (first)."" so when they threw, they bewitched the eyes of the people, and struck terror into them: for they showed a great (feat of) magic.",0.152,0.732,0.115,0.6944444444444443,0.5166666666666667
1070,"we put it into moses's mind by inspiration: ""throw (now) thy rod"": and behold! it swallows up straight away all the falsehoods which they fake!",0.1,0.71,0.19,0.7,-0.2125
1071,"thus truth was confirmed, and all that they did was made of no effect.",0.133,0.727,0.139,1.0,0.4
1072,"so the (great ones) were vanquished there and then, and were made to look small.",0.0,0.762,0.238,0.575,0.275
1073,but the sorcerers fell down prostrate in adoration.,0.0,0.567,0.433,0.2888888888888889,-0.15555555555555559
1074,"saying: ""we believe in the lord of the worlds,-",0.0,1.0,0.0,0.0,0.0
1075,"""the lord of moses and aaron.""",0.0,1.0,0.0,0.0,0.0
1076,"said pharaoh: ""believe ye in him before i give you permission? surely this is a trick which ye have planned in the city to drive out its people: but soon shall ye know (the consequences).",0.031,0.915,0.054,0.8888888888888888,0.5
1077,"""be sure i will cut off your hands and your feet on apposite sides, and i will cause you all to die on the cross.""",0.198,0.726,0.076,0.562962962962963,0.3
1078,"they said: ""for us, we are but sent back unto our lord:",0.0,1.0,0.0,0.0,0.0
1079,"""but thou dost wreak thy vengeance on us simply because we believed in the signs of our lord when they reached us! our lord! pour out on us patience and constancy, and take our souls unto thee as muslims (who bow to thy will)!",0.0,0.946,0.054,0.35714285714285715,0.0
1080,"said the chiefs of pharaoh's people: ""wilt thou leave moses and his people, to spread mischief in the land, and to abandon thee and thy gods?"" he said: ""their male children will we slay; (only) their females will we save alive; and we have over them (power) irresistible.""",0.116,0.739,0.144,0.5,0.03333333333333333
1081,"said moses to his people: ""pray for help from allah, and (wait) in patience and constancy: for the earth is allah's, to give as a heritage to such of his servants as he pleaseth; and the end is (best) for the righteous.",0.0,0.809,0.191,0.4,0.5
1082,"they said: ""we have had (nothing but) trouble, both before and after thou camest to us."" he said: ""it may be that your lord will destroy your enemy and make you inheritors in the earth; that so he may try you by your deeds.""",0.178,0.768,0.054,0.1,-0.2
1083,we punished the people of pharaoh with years (of droughts) and shortness of crops; that they might receive admonition.,0.143,0.857,0.0,0.0,0.0
1084,"but when good (times) came, they said, ""this is due to us;"" when gripped by calamity, they ascribed it to evil omens connected with moses and those with him! behold! in truth the omens of evil are theirs in allah's sight, but most of them do not understand!",0.205,0.689,0.106,0.6950000000000001,-0.16
1085,"they said (to moses): ""whatever be the signs thou bringest, to work therewith thy sorcery on us, we shall never believe in thee.",0.0,1.0,0.0,0.0,0.0
1086,"so we sent (plagues) on them: wholesale death, locusts, lice, frogs, and blood: signs openly self-explained: but they were steeped in arrogance,- a people given to sin.",0.332,0.668,0.0,0.5,0.0
1087,"every time the penalty fell on them, they said: ""o moses! on your behalf call on thy lord in virtue of his promise to thee: if thou wilt remove the penalty from us, we shall truly believe in thee, and we shall send away the children of israel with thee.""",0.101,0.759,0.14,0.0,0.0
1088,"but every time we removed the penalty from them according to a fixed term which they had to fulfil,- behold! they broke their word!",0.274,0.726,0.0,0.2,0.15625
1089,"so we exacted retribution from them: we drowned them in the sea, because they rejected our signs and failed to take warning from them.",0.392,0.608,0.0,0.2,-0.3
1090,"and we made a people, considered weak (and of no account), inheritors of lands in both east and west, - lands whereon we sent down our blessings. the fair promise of thy lord was fulfilled for the children of israel, because they had patience and constancy, and we levelled to the ground the great works and fine buildings which pharaoh and his people erected (with such pride).",0.062,0.705,0.233,0.5939814814814816,0.2310185185185185
1091,"we took the children of israel (with safety) across the sea. they came upon a people devoted entirely to some idols they had. they said: ""o moses! fashion for us a god like unto the gods they have."" he said: ""surely ye are a people without knowledge.",0.0,0.76,0.24,0.7569444444444444,0.25
1092,"""as to these folk,- the cult they are in is (but) a fragment of a ruin, and vain is the (worship) which they practise.""",0.272,0.642,0.086,0.0,0.0
1093,"he said: ""shall i seek for you a god other than the (true) allah, when it is allah who hath endowed you with gifts above the nations?""",0.0,0.836,0.164,0.375,0.075
1094,"and remember we rescued you from pharaoh's people, who afflicted you with the worst of penalties, who slew your male children and saved alive your females: in that was a momentous trial from your lord.",0.147,0.67,0.183,0.5,-0.3
1095,"we appointed for moses thirty nights, and completed (the period) with ten (more): thus was completed the term (of communion) with his lord, forty nights. and moses had charged his brother aaron (before he went up): ""act for me amongst my people: do right, and follow not the way of those who do mischief.""",0.076,0.924,0.0,0.3452380952380952,0.2619047619047619
1096,"when moses came to the place appointed by us, and his lord addressed him, he said: ""o my lord! show (thyself) to me, that i may look upon thee."" allah said: ""by no means canst thou see me (direct); but look upon the mount; if it abide in its place, then shalt thou see me."" when his lord manifested his glory on the mount, he made it as dust. and moses fell down in a swoon. when he recovered his senses he said: ""glory be to thee! to thee i turn in repentance, and i am the first to believe.""",0.015,0.892,0.093,0.34074074074074073,0.05185185185185184
1097,"(allah) said: ""o moses! i have chosen thee above (other) men, by the mission i (have given thee) and the words i (have spoken to thee): take then the (revelation) which i give thee, and be of those who give thanks.""",0.0,0.926,0.074,0.225,0.025000000000000005
1098,"and we ordained laws for him in the tablets in all matters, both commanding and explaining all things, (and said): ""take and hold these with firmness, and enjoin thy people to hold fast by the best in the precepts: soon shall i show you the homes of the wicked,- (how they lie desolate).""",0.058,0.852,0.09,0.44999999999999996,0.6
1099,"those who behave arrogantly on the earth in defiance of right - them will i turn away from my signs: even if they see all the signs, they will not believe in them; and if they see the way of right conduct, they will not adopt it as the way; but if they see the way of error, that is the way they will adopt. for they have rejected our signs, and failed to take warning from them.",0.204,0.774,0.022,0.45714285714285713,0.023809523809523798
1100,"those who reject our signs and the meeting in the hereafter,- vain are their deeds: can they expect to be rewarded except as they have wrought?",0.174,0.726,0.101,0.0,0.0
1101,"the people of moses made, in his absence, out of their ornaments, the image of calf, (for worship): it seemed to low: did they not see that it could neither speak to them, nor show them the way? they took it for worship and they did wrong.",0.099,0.817,0.084,0.39999999999999997,-0.1708333333333333
1102,"when they repented, and saw that they had erred, they said: ""if our lord have not mercy upon us and forgive us, we shall indeed be of those who perish.""",0.066,0.869,0.065,0.0,0.0
1103,"when moses came back to his people, angry and grieved, he said: ""evil it is that ye have done in my place in my absence: did ye make haste to bring on the judgment of your lord?"" he put down the tablets, seized his brother by (the hair of) his head, and dragged him to him. aaron said: ""son of my mother! the people did indeed reckon me as naught, and went near to slaying me! make not the enemies rejoice over my misfortune, nor count thou me amongst the people of sin.""",0.173,0.803,0.025,0.44814814814814813,-0.2636574074074074
1104,"moses prayed: ""o my lord! forgive me and my brother! admit us to thy mercy! for thou art the most merciful of those who show mercy!""",0.0,0.686,0.314,0.5,0.625
1105,"those who took the calf (for worship) will indeed be overwhelmed with wrath from their lord, and with shame in this life: thus do we recompense those who invent (falsehoods).",0.093,0.806,0.101,0.0,0.0
1106,"but those who do wrong but repent thereafter and (truly) believe,- verily thy lord is thereafter oft-forgiving, most merciful.",0.166,0.68,0.154,0.7,0.0
1107,"when the anger of moses was appeased, he took up the tablets: in the writing thereon was guidance and mercy for such as fear their lord.",0.207,0.661,0.132,0.35,-0.35
1108,"and moses chose seventy of his people for our place of meeting: when they were seized with violent quaking, he prayed: ""o my lord! if it had been thy will thou couldst have destroyed, long before, both them and me: wouldst thou destroy us for the deeds of the foolish ones among us? this is no more than thy trial: by it thou causest whom thou wilt to stray, and thou leadest whom thou wilt into the right path. thou art our protector: so forgive us and give us thy mercy; for thou art the best of those who forgive.",0.148,0.755,0.097,0.4559523809523809,-0.03571428571428573
1109,"""and ordain for us that which is good, in this life and in the hereafter: for we have turned unto thee."" he said: ""with my punishment i visit whom i will; but my mercy extendeth to all things. that (mercy) i shall ordain for those who do right, and practise regular charity, and those who believe in our signs;-",0.031,0.791,0.178,0.40421245421245416,0.32857142857142857
1110,"""those who follow the messenger, the unlettered prophet, whom they find mentioned in their own (scriptures),- in the law and the gospel;- for he commands them what is just and forbids them what is evil; he allows them as lawful what is good (and pure) and prohibits them from what is bad (and impure); he releases them from their heavy burdens and from the yokes that are upon them. so it is those who believe in him, honour him, help him, and follow the light which is sent down with him,- it is they who will prosper.""",0.113,0.804,0.083,0.5839506172839506,-0.015696649029982353
1111,"say: ""o men! i am sent unto you all, as the messenger of allah, to whom belongeth the dominion of the heavens and the earth: there is no god but he: it is he that giveth both life and death. so believe in allah and his messenger, the unlettered prophet, who believeth in allah and his words: follow him that (so) ye may be guided.""",0.099,0.874,0.026,0.0,0.0
1112,of the people of moses there is a section who guide and do justice in the light of truth.,0.0,0.749,0.251,0.7,0.4
1113,"we divided them into twelve tribes or nations. we directed moses by inspiration, when his (thirsty) people asked him for water: ""strike the rock with thy staff"": out of it there gushed forth twelve springs: each group knew its own place for water. we gave them the shade of clouds, and sent down to them manna and quails, (saying): ""eat of the good things we have provided for you"": (but they rebelled); to us they did no harm, but they harmed their own souls.",0.084,0.831,0.084,0.7777777777777779,0.19888888888888887
1114,"and remember it was said to them: ""dwell in this town and eat therein as ye wish, but say the word of humility and enter the gate in a posture of humility: we shall forgive you your faults; we shall increase (the portion of) those who do good.""",0.071,0.716,0.214,0.6000000000000001,0.7
